Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,description_JVC
12452,Zero Escape: Zero Time Dilemma,PSV,2016.0,Adventure,Aksys Games,0.03,0.0,0.02,0.01,0.06,12,(4),15.8,"Editeur(s) / Développeur(s) Chunsoft
Sortie France 28 juin 2016
Genre(s) Réflexion Aventure
Classification +18 ans
Mode(s) Jouable en solo
Modèle(s) économique(s) Payant à l'acquisition
Support(s) PlayStation Store Steam Cartouche
Date de sortie (aux Etats-Unis) 26 juin 2016
Date de sortie (au Japon) 3ème trimestre 2015"
12453,Shining Force Feather,DS,2009.0,Strategy,Sega,0.0,0.0,0.06,0.0,0.06,--,(0),--,"Editeur(s) / Développeur(s) Sega Flight Plan
Sortie France Date de sortie inconnue
Genre(s) Tactique RPG
Web Site officiel
Support(s) Cartouche
Date de sortie (au Japon) 19 février 2009"
12454,S.T.A.L.K.E.R.: Call of Pripyat,PC,2009.0,Shooter,Namco Bandai Games,0.0,0.05,0.0,0.01,0.06,18,(368),17.4,"Editeur(s) / Développeur(s) bitComposer GSC Game World
Sortie France 05 févr. 2010
Genre(s) FPS RPG
Classification +16 ans
Mode(s) Jouable en solo Multi en local Multi en ligne
Nombre maximum de joueurs 32 joueurs
Web Site officiel
Modèle(s) économique(s) Payant à l'acquisition
Support(s) DVD
Langue de la version disponible en France Textes en français
Configuration minimale Windows XP, Pentium 4 2 GHz, 512 Mo de RAM, carte vidéo 128 Mo GeForce 5700/Radeon 9600
Configuration conseillée Windows Vista, Core 2 Duo E7400, 2 Go de RAM, carte vidéo 512 Mo GeForce 9800 GTX/Radeon HD 4850"
12455,Champion Jockey: G1 Jockey & Gallop Racer,X360,2011.0,Sports,Tecmo Koei,0.0,0.05,0.0,0.01,0.06,no_data,no_data,no_data,no_data
12456,Disney's Kim Possible: Global Gemini,DS,2007.0,Platform,Disney Interactive Studios,0.05,0.01,0.0,0.0,0.06,no_data,no_data,no_data,no_data
12457,Big Bang Mini,DS,2009.0,Shooter,SouthPeak Games,0.05,0.0,0.0,0.0,0.06,16,(46),17.6,"Editeur(s) / Développeur(s) Southpeak Interactive Arkedo Studio
Sortie France 02 avr. 2009
Genre(s) Shoot'em Up
Classification +7 ans
Nombre maximum de joueurs mode 2 joueurs en liaison locale avec une seule carte
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 20 janvier 2009"
12458,Cocoto Kart Racer,Wii,2008.0,Racing,Conspiracy Entertainment,0.06,0.0,0.0,0.0,0.06,--,(5),16.4,"Editeur(s) / Développeur(s) Neko Entertainment
Sortie France 11 juil. 2008
Genre(s) Course
Classification +3 ans
Nombre maximum de joueurs 2-4
Web Site officiel
Support(s) DVD
Date de sortie (aux Etats-Unis) 24 juin 2008"
12459,Mobile Suit Gundam 00: Gundam Meisters,PS2,2008.0,Action,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,--,(1),19,"Editeur(s) / Développeur(s) Bandai Namco
Sortie France Date de sortie inconnue
Genre(s) Action
Nombre maximum de joueurs 1 à 2
Web Site officiel
Support(s) DVD
Date de sortie (au Japon) 16 octobre 2008"
12460,Call of Cthulhu: Dark Corners of the Earth,XB,2005.0,Adventure,Take-Two Interactive,0.05,0.01,0.0,0.0,0.06,14,(22),16.5,"Editeur(s) / Développeur(s) Ubisoft 2K Games Headfirst Bethesda Softworks
Sortie France 28 oct. 2005
Genre(s) Survival-Horror
Classification +18 ans
Mode(s) Jouable en solo
Support(s) CD DVD
Langue de la version disponible en France Textes en français Voix en anglais"
12461,The Great Escape,XB,2003.0,Action,SCi,0.05,0.01,0.0,0.0,0.06,--,(4),16,"Editeur(s) / Développeur(s) Ocean Denton Designs Thunder Mountain Dentons
Sortie France 1986
Genre(s) Action Aventure
Support(s) Disquette Cassette CD"
12462,Coded Arms: Contagion,PSP,2007.0,Shooter,Konami Digital Entertainment,0.05,0.0,0.0,0.01,0.06,10,(11),13.8,"Editeur(s) / Développeur(s) Creat Studios Konami
Sortie France 13 mars 2008
Genre(s) FPS
Classification +12 ans
Mode(s) Multi en ligne
Nombre maximum de joueurs 2-8 joueurs en local ou online
Web Site officiel
Support(s) UMD
Date de sortie (aux Etats-Unis) 18 septembre 2007
Date de sortie (au Japon) 27 septembre 2007"
12463,X-Men: Destiny,DS,2011.0,Action,Activision,0.05,0.01,0.0,0.0,0.06,--,(0),--,"Editeur(s) / Développeur(s) Activision
Sortie France Le jeu est annulé
Genre(s) Action
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 4ème trimestre 2011"
12464,Metal Gear Solid: Social Ops,PS2,2002.0,Action,Konami Digital Entertainment,0.03,0.02,0.0,0.01,0.06,--,(0),--,"Editeur(s) / Développeur(s) GREE Konami
Sortie France Date de sortie inconnue
Genre(s) Action
Support(s) App Store Google Play"
12465,Minna no DS Seminar: Kanpeki Eitango Ryoku,DS,2006.0,Misc,TDK Core,0.0,0.0,0.06,0.0,0.06,no_data,no_data,no_data,no_data
12466,Kurupoto Cool Cool Stars,DS,2007.0,Action,Starfish,0.06,0.0,0.0,0.0,0.06,6,(3),9.3,"Editeur(s) / Développeur(s) Starfish 505 Games
Sortie France 17 avr. 2008
Genre(s) Puzzle-Game
Classification +3 ans
Web Site officiel
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 27 septembre 2007
Date de sortie (au Japon) 15 mars 2007"
