Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,description_JVC
7459,Shin Megami Tensei: Persona 3 (jp sales),PS2,2006.0,Role-Playing,Tecmo Koei,0.0,0.0,0.21,0.0,0.21,no_data,no_data,no_data,no_data
7460,Greg Hastings Paintball 2,X360,2010.0,Shooter,Majesco Entertainment,0.19,0.0,0.0,0.01,0.21,--,(4),14.5,"Editeur(s) / Développeur(s) Super X Studios Majesco
Sortie France 14 sept. 2010
Genre(s) Autres Tir
Mode(s) Multi en ligne
Support(s) PlayStation Store Xbox Live Arcade DVD"
7461,Evil Dead: Regeneration,PS2,2005.0,Action,THQ,0.1,0.08,0.0,0.03,0.21,8,(14),15.3,"Editeur(s) / Développeur(s) Cranky Pants THQ
Sortie France 16 sept. 2005
Genre(s) Action Aventure
Classification +18 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs Non
Support(s) CD
Langue de la version disponible en France Voix en anglais Textes en anglais"
7462,Dead to Rights: Retribution,X360,2010.0,Shooter,Namco Bandai Games,0.11,0.08,0.0,0.02,0.21,14,(53),15.2,"Editeur(s) / Développeur(s) Bandai Namco Volatile
Sortie France 23 avr. 2010
Genre(s) Action
Classification +18 ans
Mode(s) Jouable en solo
Web Site officiel
Support(s) DVD Blu-Ray
Langue de la version disponible en France Textes en français Voix en anglais"
7463,NCAA March Madness 07,X360,2007.0,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21,--,(0),--,"Editeur(s) / Développeur(s) EA Sports EA Canada
Sortie France Date de sortie inconnue
Genre(s) Sport
Support(s) DVD
Date de sortie (aux Etats-Unis) 07 janvier 2007"
7464,NHL 2003,XB,2002.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.21,16,(18),18,"Editeur(s) / Développeur(s) EA Canada Electronic Arts
Sortie France 17 oct. 2002
Genre(s) Sport
Classification +3 ans
Support(s) CD DVD Nintendo Game Disc
Date de sortie (aux Etats-Unis) 02 octobre 2002
Langue de la version disponible en France Voix en français Textes en français Voix en anglais"
7465,Marvel Super Hero Squad: Comic Combat,PS3,2011.0,Action,THQ,0.11,0.07,0.0,0.03,0.21,12,(1),14,"Editeur(s) / Développeur(s) THQ
Sortie France 18 nov. 2011
Genre(s) Beat'em All
Classification +12 ans
Support(s) Blu-Ray
Langue de la version disponible en France Voix en français Textes en français
Configuration minimale uDraw GameTablet"
7466,X-Men: Children of the Atom,SAT,1995.0,Fighting,Acclaim Entertainment,0.0,0.0,0.21,0.0,0.21,--,(0),--,"Editeur(s) / Développeur(s) Acclaim Capcom Probe
Sortie France Date de sortie inconnue
Genre(s) Action
Support(s) CD"
7467,Barbie Fashion Show: An Eye for Style,DS,2008.0,Misc,Activision,0.19,0.0,0.0,0.02,0.21,--,(6),14,"Editeur(s) / Développeur(s) Activision
Sortie France 14 nov. 2008
Genre(s) Simulation Autres
Classification +3 ans
Support(s) Cartouche"
7468,Tiger Woods PGA Tour,PSP,2005.0,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21,--,(0),--,"Editeur(s) / Développeur(s) Electronic Arts
Sortie France Date de sortie inconnue
Genre(s) Sport Simulation
Classification +3 ans
Support(s) UMD
Date de sortie (aux Etats-Unis) 21 mars 2005"
7469,Yarudora Series Vol. 2: Kisetsu wo Dakishimete,PS,1998.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.19,0.01,0.21,no_data,no_data,no_data,no_data
7470,NHL 2K3,PS2,2002.0,Sports,Sega,0.1,0.08,0.0,0.03,0.21,15,(8),16.4,"Editeur(s) / Développeur(s) Treyarch Sega
Sortie France 28 mars 2003
Genre(s) Sport
Classification +3 ans
Nombre maximum de joueurs 2 à 8 joueurs
Support(s) DVD
Date de sortie (aux Etats-Unis) 19 novembre 2002
Langue de la version disponible en France Voix en anglais Textes en anglais"
7471,Heisei Kyouiku linkai DS,DS,2006.0,Misc,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21,--,(0),--,"Editeur(s) / Développeur(s) Namco
Sortie France Date de sortie inconnue
Genre(s) Autres
Support(s) Cartouche
Date de sortie (au Japon) 20 décembre 2007"
7472,SpongeBob SquarePants: Game Boy Advance Video Volume 3,GBA,2004.0,Misc,,0.15,0.05,0.0,0.0,0.21,no_data,no_data,no_data,no_data
7473,Pro Yaky? Spirits 2010,PS3,2010.0,Sports,Konami Digital Entertainment,0.0,0.0,0.21,0.0,0.21,no_data,no_data,no_data,no_data
7474,The Naked Brothers Band: The Video Game,Wii,2008.0,Misc,THQ,0.19,0.0,0.0,0.01,0.21,no_data,no_data,no_data,no_data
7475,Final Fight One,GBA,2001.0,Fighting,Ubisoft,0.09,0.03,0.08,0.0,0.21,14,(25),15.2,"Editeur(s) / Développeur(s) Capcom Ubisoft
Sortie France 27 sept. 2001
Genre(s) Combat Beat'em All
Classification +12 ans
Nombre maximum de joueurs 2 joueurs
Support(s) Cartouche
Langue de la version disponible en France Textes en anglais"
7476,Rune Factory: Tides of Destiny,Wii,2011.0,Role-Playing,Marvelous Interactive,0.14,0.0,0.06,0.01,0.21,--,(3),20,"Editeur(s) / Développeur(s) Neverland Marvelous Entertainment
Sortie France Date de sortie inconnue
Genre(s) RPG Gestion
Classification +12 ans
Support(s) DVD
Date de sortie (aux Etats-Unis) 11 octobre 2011
Date de sortie (au Japon) 24 février 2011"
7477,The Amazing Spider-Man (Console Version),DS,2012.0,Action,Activision,0.15,0.04,0.0,0.01,0.21,no_data,no_data,no_data,no_data
