Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,description_wiki
12225,Interactive Storybook DS Series 1,DS,2007.0,Misc,Tommo,0.06,0.0,0.0,0.0,0.07,no_data
12226,Frogger Advance: The Great Quest,GBA,2002.0,Action,Konami Digital Entertainment,0.05,0.02,0.0,0.0,0.07,no_data
12227,Worms Forts: Under Siege,XB,2004.0,Strategy,Sega,0.05,0.01,0.0,0.0,0.07,no_data
12228,Dream C Club,X360,2009.0,Simulation,D3Publisher,0.0,0.0,0.07,0.0,0.07,no_data
12229,Pro Evolution Soccer 2015,PC,2014.0,Sports,Konami Digital Entertainment,0.0,0.06,0.0,0.01,0.07,"Pro Evolution Soccer 2015
Développeur
Konami - PES Production ARCHOS
Éditeur
Konami
Date de sortie
AN : 11 novembre 2014
EUR : 13 novembre 2014
Genre
Football
Mode de jeu
Solo, multijoueur, en ligne
Plateforme
Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One
Langue
Multilingue
Moteur
Fox Engine
Havok (moteur physique)
Évaluation
ACB : G ?
CERO : Free ?
ESRB : E ?
PEGI : 3 ?
USK : 0 ?
Site web
pes.konami.com/news
EFootball
Pro Evolution Soccer 2014 Pro Evolution Soccer 2016
modifier - modifier le code - modifier Wikidata"
12230,Disney Infinity,PSV,2013.0,Action,Disney Interactive Studios,0.05,0.0,0.0,0.02,0.07,"Disney Infinity
Logo du premier jeu de la série.
Genre
Plates-formes, aventure
Développeur
Avalanche Software, Altron (3DS)
Éditeur
Disney Interactive Studios
Premier jeu
2013
Jeu phare
Disney Infinity
Disney Infinity: Marvel Super Heroes
Disney Infinity 3.0
Dernier jeu
2015
Plate-forme
PC (Windows), PlayStation 3, PlayStation 4, Wii, Wii U, Nintendo 3DS, Xbox 360, Xbox One, Apple TV
Site web
infinity.disney.com
modifier - modifier le code - modifier Wikidata"
12231,Pocky & Rocky with Becky,GBA,2001.0,Shooter,Altron,0.05,0.02,0.0,0.0,0.07,no_data
12232,Full Spectrum Warrior: Ten Hammers,PS2,2006.0,Strategy,THQ,0.03,0.02,0.0,0.01,0.07,"Full Spectrum Warrior
Ten Hammers
Développeur
Pandemic Studios
Mass Media (PS2)
Éditeur
THQ
Date de sortie
AN 28 mars 2006
EUR 23 juin 2006
Windows
AN 4 avril 2006
Genre
Tir tactique
Mode de jeu
Solo, multijoueur
Plateforme
Ordinateur(s) :
Windows
Console(s) :
PlayStation 2, Xbox
Langue
Anglais, français, italien, espagnol, allemand
modifier - modifier le code - modifier Wikidata"
12233,Streets of Rage 3,GEN,1993.0,Action,Sega,0.0,0.0,0.07,0.0,0.07,"Streets of Rage 3
Développeur
Sega AM7
Éditeur
Sega
Réalisateur
Atsushi Seimiya
Compositeur
Motohiro Kawashima
Yūzō Koshiro
Date de sortie
AN : 17 mars 1994
JAP : 18 mars 1994
INT : Juin 1994
Genre
beat them all
Mode de jeu
Un à deux joueurs
Plateforme
Mega Drive
Langue
Anglais
Évaluation
PEGI 12 (d)
Streets of Rage
Streets of Rage 2 (1992) Streets of Rage 4 (2020)
modifier - modifier le code - modifier Wikidata"
12234,Chocolatier,DS,2010.0,Misc,Zoo Games,0.06,0.0,0.0,0.0,0.07,"Pour le jeu vidéo de 2007, voir Chocolatier (jeu vidéo)."
12235,Cosmos Chaos!,DS,2010.0,Misc,Mentor Interactive,0.06,0.0,0.0,0.0,0.07,no_data
12236,Lego Star Wars: The Force Awakens,3DS,2016.0,Action,Warner Bros. Interactive Entertainment,0.02,0.04,0.0,0.0,0.07,no_data
12237,12-Sai. Honto no Kimochi,3DS,2014.0,Adventure,Happinet,0.0,0.0,0.07,0.0,0.07,no_data
12238,"Warhammer 40,000: Squad Command",DS,2007.0,Strategy,THQ,0.05,0.01,0.0,0.01,0.07,"Warhammer 40,000
Squad Command
Développeur
RedLynx
Éditeur
THQ
Date de sortie
Novembre 2007 (PSP)
Décembre 2007 (DS)
Genre
Tactique au tour par tour
Mode de jeu
Un joueur, multijoueur
Plateforme
PlayStation Portable, Nintendo DS
Version
1.00
modifier - modifier le code - modifier Wikidata"
12239,Hasbro Family Game Night Fun Pack,X360,2011.0,Misc,Electronic Arts,0.06,0.0,0.0,0.0,0.07,no_data
12240,Port Royale 3,X360,,Simulation,Kalypso Media,0.06,0.0,0.0,0.0,0.07,"Port Royale 3
Développeur
Gaming Minds Studios
Éditeur
Kalypso Media
Date de sortie
Windows
4 mai 2012
Xbox 360, PlayStation 3
AN 2 octobre 2012
Genre
Gestion
Mode de jeu
Solo, multijoueur
Plateforme
Ordinateur(s) :
Windows
Console(s) :
PlayStation 3, Xbox 360
Langue
Anglais, allemand, français, italien, espagnol, japonais
Site web
www.port-royale3.com
Port Royale (d)
Port Royale 2 Port Royale 4 (d)
modifier - modifier le code - modifier Wikidata"
12241,Pro Yaky? Spirits 4,PS3,2007.0,Sports,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07,no_data
12242,Speed Racer,PS,1996.0,Racing,Tomy Corporation,0.04,0.02,0.0,0.0,0.07,no_data
12243,NHL Hitz Pro,XB,2003.0,Sports,Midway Games,0.05,0.01,0.0,0.0,0.07,"NHL Hitz Pro
Développeur
Next Level Games
Éditeur
Midway
Date de sortie
2003
Genre
Hockey sur glace
Mode de jeu
Multijoueur, solo
Plateforme
GameCube, PlayStation 2, Xbox
NHL Hitz (en)
NHL Hitz 2003
modifier - modifier le code - modifier Wikidata"
12244,Walt Disney Pictures Presents Enchanted,DS,2007.0,Platform,Disney Interactive Studios,0.04,0.01,0.0,0.01,0.07,no_data
