,Platform,Year,Genre,Publisher,Global_Sales,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC,langue_parlée_JVC,texte_JVC,freq_name
0,NES,1985,Platform,Nintendo,40.24,84.0,14.0,8.4,119.0,19.0,3.0,19.0,3.0,Autre,français,français,2.0
1,GB,1989,Puzzle,Nintendo,30.26,65.0,10.0,8.0,7.0,11.0,8.0,17.8,3.0,Autre,français,français,4.0
2,Wii,2006,Misc,Nintendo,29.02,58.0,41.0,6.6,190.0,12.0,223.0,12.1,3.0,DVD,français,français,4.0
3,DS,2005,Simulation,Nintendo,24.76,83.0,54.0,7.6,125.0,15.0,159.0,16.4,3.0,Cartouche,français,français,4.0
4,Wii,2007,Sports,Nintendo,22.72,80.0,63.0,7.7,164.0,15.0,227.0,16.2,3.0,DVD,français,français,3.0
5,Wii,2009,Sports,Nintendo,22.0,80.0,33.0,7.6,78.0,16.0,129.0,15.9,3.0,DVD,français,français,3.0
6,X360,2010,Misc,Microsoft Game Studios,21.82,61.0,45.0,6.3,130.0,11.0,3.0,16.3,7.0,Autre,français,français,1.0
7,PS2,2004,Action,Take-Two Interactive,20.81,95.0,80.0,9.1,3387.0,14.0,50.0,9.8,3.0,Autre,français,français,3.0
8,SNES,1990,Platform,Nintendo,20.61,92.0,28.0,9.0,236.0,18.0,285.0,18.8,3.0,Cartouche,français,français,1.0
9,NES,1988,Platform,Nintendo,17.28,94.0,25.0,8.9,276.0,19.0,2.0,20.0,3.0,Autre,anglais,anglais,2.0
10,PS2,2002,Action,Take-Two Interactive,16.15,95.0,62.0,8.8,1449.0,14.0,50.0,9.8,3.0,Autre,français,français,3.0
11,X360,2011,Shooter,Activision,14.76,88.0,81.0,3.5,8680.0,12.0,18.0,10.1,18.0,Autre,français,français,2.0
12,X360,2010,Shooter,Activision,14.64,87.0,89.0,6.7,1746.0,11.0,1.0,1.0,3.0,Autre,français,français,3.0
13,PS3,2012,Shooter,Activision,14.03,83.0,21.0,5.9,1185.0,10.0,27.0,13.2,18.0,PlayStation Store,français,français,1.0
14,X360,2012,Shooter,Activision,13.73,83.0,73.0,5.4,2658.0,10.0,27.0,13.2,18.0,Autre,français,français,1.0
15,X360,2009,Shooter,Activision,13.51,94.0,100.0,6.6,3127.0,16.0,135.0,10.0,3.0,Autre,français,français,2.0
16,PS3,2011,Shooter,Activision,13.46,88.0,39.0,3.4,5379.0,12.0,18.0,10.1,18.0,Autre,français,français,2.0
17,PS3,2010,Shooter,Activision,12.73,88.0,58.0,6.9,1432.0,11.0,1.0,1.0,3.0,Autre,français,français,3.0
18,PS3,2009,Shooter,Activision,10.69,94.0,67.0,6.8,2628.0,16.0,135.0,10.0,3.0,Autre,français,français,2.0
19,SNES,1993,Platform,Nintendo,10.55,70.0,29.0,7.7,95.0,11.0,118.0,18.8,3.0,Cartouche,français,français,1.0
20,Wii,2011,Misc,Ubisoft,10.26,74.0,15.0,8.0,23.0,15.0,145.0,17.0,3.0,DVD,français,français,3.0
21,X360,2013,Shooter,Activision,10.21,73.0,29.0,2.8,2150.0,11.0,4.0,12.0,16.0,Autre,français,français,3.0
22,X360,2010,Shooter,Microsoft Game Studios,9.88,91.0,99.0,8.4,3009.0,11.0,3.0,6.7,18.0,Autre,français,français,4.0
23,X360,2012,Shooter,Microsoft Game Studios,9.76,87.0,87.0,7.1,3864.0,16.0,4.0,17.8,16.0,DVD,français,français,4.0
24,PS,1997,Role-Playing,Sony Computer Entertainment,9.72,92.0,20.0,8.9,2521.0,18.0,215.0,19.0,3.0,Autre,français,français,1.0
