Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,description_JVC
2854,Catherine,PS3,2011.0,Adventure,Deep Silver,0.3,0.15,0.2,0.07,0.72,17,(145),16.8,"Editeur(s) / Développeur(s) Deep Silver Atlus
Sortie France 09 févr. 2012
Genre(s) Réflexion Aventure
Classification +18 ans
Mode(s) Multi en coopératif
Nombre maximum de joueurs deux joueurs en coopération en local
Web Site officiel
Support(s) Blu-Ray
Date de sortie (aux Etats-Unis) 26 juillet 2011
Date de sortie (au Japon) 17 février 2011"
2855,Fear Effect,PS,1998.0,Action,Eidos Interactive,0.4,0.27,0.0,0.05,0.72,17,(3),20,"Editeur(s) / Développeur(s) Eidos Interactive Sushee Square Enix Kronos
Sortie France févr. 2000
Genre(s) Action Aventure
Classification +16 ans
Mode(s) Jouable en solo
Modèle(s) économique(s) Payant à l'acquisition
Support(s) PlayStation Store CD
Langue de la version disponible en France Voix en français Textes en français"
2856,FIFA Soccer 11,DS,2010.0,Sports,Electronic Arts,0.13,0.5,0.0,0.09,0.72,no_data,no_data,no_data,no_data
2857,Crysis,PC,2007.0,Shooter,Electronic Arts,0.0,0.69,0.0,0.03,0.72,18,(959),17.2,"Editeur(s) / Développeur(s) Crytek Electronic Arts
Sortie France 16 nov. 2007
Genre(s) FPS
Thème(s) Contemporain
Classification +18 ans
Mode(s) Jouable en solo Multi en ligne
Nombre maximum de joueurs 32 joueurs
Web Site officiel
Modèle(s) économique(s) Payant à l'acquisition
Support(s) DVD
Langue de la version disponible en France Voix en français Textes en français
Configuration minimale PIV 2.8GHz, 1GO de RAM, carte 3D 256 Mo, 12 Go d'espace disque, Win XP/Vista
Configuration conseillée Core Duo, 2 GO de RAM, carte 3D type Geforce 8800 GTS"
2858,Battlefield: Bad Company 2,PC,2010.0,Shooter,Electronic Arts,0.19,0.53,0.0,0.0,0.71,16,(186),17.4,"Editeur(s) / Développeur(s) Electronic Arts Dice
Sortie France 18 déc. 2010
Genre(s) FPS
Classification +18 ans
Nombre maximum de joueurs 2-32 joueurs
Support(s) Online
Date de sortie (aux Etats-Unis) 18 décembre 2010
Configuration minimale Windows XP, Processeur Core 2 Duo 2.0 GHz, 2 Go de RAM, carte graphique GeForce 7800 GT ou ATI X1900 256 Mo
Configuration conseillée Windows Vista ou Windows 7, Processeur : Quadcore, 2 Go de RAM, carte graphique GeForce GTX 260 512 Mo"
2859,The Lord of the Rings: The Two Towers,XB,2002.0,Action,Electronic Arts,0.45,0.24,0.0,0.03,0.71,17,(50),17.1,"Editeur(s) / Développeur(s) Griptonite Games Stormfront Studios Electronic Arts
Sortie France 08 nov. 2002
Genre(s) Action Beat'em All RPG
Classification +3 ans
Mode(s) Jouable en solo
Web Site officiel
Support(s) Nintendo Game Disc Cartouche DVD
Langue de la version disponible en France Voix en français Textes en français"
2860,Madden NFL 2003,XB,2002.0,Sports,Electronic Arts,0.67,0.02,0.0,0.03,0.71,17,(8),17.3,"Editeur(s) / Développeur(s) EA Tiburon Budcat Electronic Arts
Sortie France 26 sept. 2002
Genre(s) Sport
Classification +3 ans
Support(s) CD DVD Nintendo Game Disc Cartouche
Date de sortie (aux Etats-Unis) 12 août 2002
Langue de la version disponible en France Voix en français Textes en français Voix en anglais Textes en anglais"
2861,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007.0,Role-Playing,Square Enix,0.18,0.01,0.5,0.02,0.71,13,(99),13.1,"Editeur(s) / Développeur(s) Square Enix
Sortie France 09 mai 2008
Genre(s) RPG Action
Classification +12 ans
Nombre maximum de joueurs 2 à 4 joueurs
Web Site officiel
Support(s) DVD
Date de sortie (aux Etats-Unis) 19 février 2008
Date de sortie (au Japon) 12 juillet 2007"
2862,MLB 13: The Show,PS3,2013.0,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.05,0.71,16,(14),16.5,"Editeur(s) / Développeur(s) Sony
Sortie France 06 mars 2013
Genre(s) Sport
Classification +3 ans
Mode(s) Multi en ligne
Nombre maximum de joueurs 8 joueurs en ligne
Support(s) PlayStation Store"
2863,Omerta: City of Gangsters,X360,2011.0,Simulation,Konami Digital Entertainment,0.42,0.23,0.0,0.06,0.71,--,(3),10,"Editeur(s) / Développeur(s) Haeminont Games Kalypso Media
Sortie France 05 déc. 2013
Genre(s) Gestion Stratégie
Classification +16 ans
Mode(s) Multi en ligne
Web Site officiel
Support(s) Contenu Xbox Live DVD Online
Langue de la version disponible en France Voix en français Textes en français"
2864,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015.0,Action,Square Enix,0.16,0.13,0.37,0.06,0.71,no_data,no_data,no_data,no_data
2865,Virtua Fighter 4: Evolution,PS2,2003.0,Fighting,Sega,0.35,0.27,0.0,0.09,0.71,18,(46),16.4,"Editeur(s) / Développeur(s) AM2 Sega
Sortie France 20 juin 2003
Genre(s) Combat
Classification +12 ans
Nombre maximum de joueurs 2 joueurs
Support(s) DVD
Date de sortie (aux Etats-Unis) juillet 2003
Date de sortie (au Japon) 13 mars 2003
Langue de la version disponible en France Textes en français"
2866,Top Spin 4,PS3,2011.0,Sports,Take-Two Interactive,0.17,0.4,0.0,0.14,0.71,18,(450),17.2,"Editeur(s) / Développeur(s) 2K Czech 2K Sports
Sortie France 18 mars 2011
Genre(s) Sport
Classification +7 ans
Mode(s) Multi sur le même écran Multi en ligne
Nombre maximum de joueurs Jusqu'à 4 joueurs sur le même écran ou en ligne
Web Site officiel
Support(s) Blu-Ray
Langue de la version disponible en France Voix en français Textes en français"
2867,Resident Evil: Survivor,PS,2000.0,Action,Eidos Interactive,0.23,0.15,0.29,0.05,0.71,--,(7),11.4,"Editeur(s) / Développeur(s) Capcom
Sortie France 15 févr. 2019
Genre(s) Survival-Horror
Thème(s) Zombies
Mode(s) Jouable en solo
Modèle(s) économique(s) Gratuit"
2868,Dynasty Warriors 6,PS3,2007.0,Action,Tecmo Koei,0.18,0.08,0.41,0.04,0.71,11,(84),14.3,"Editeur(s) / Développeur(s) OMEGA Force Koei
Sortie France 07 mars 2008
Genre(s) Beat'em All
Classification +12 ans
Mode(s) Multi sur le même écran
Nombre maximum de joueurs 2 joueurs en écran splitté
Web Site officiel
Support(s) Blu-Ray
Date de sortie (aux Etats-Unis) 20 février 2008
Date de sortie (au Japon) 11 novembre 2007
Langue de la version disponible en France Textes en français Voix en anglais"
2869,Super Trucks Racing,PS2,2002.0,Racing,Jester Interactive,0.35,0.27,0.0,0.09,0.71,1,(37),3.2,"Editeur(s) / Développeur(s) Tradewest Games Nordic Games
Sortie France 01 mars 2012
Genre(s) Course
Classification +7 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs Non
Support(s) DVD
Langue de la version disponible en France Voix en français Textes en français"
2870,Persona Q: Shadow of the Labyrinth,3DS,2014.0,Role-Playing,Nippon Ichi Software,0.33,0.07,0.27,0.04,0.71,17,(13),14.6,"Editeur(s) / Développeur(s) Atlus Sega
Sortie France 28 nov. 2014
Genre(s) RPG Dungeon RPG
Thème(s) Fantastique
Classification +12 ans
Mode(s) Jouable en solo
Web Site officiel
Modèle(s) économique(s) Payant à l'acquisition
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 25 novembre 2014
Date de sortie (au Japon) 05 juin 2014
Langue de la version disponible en France Voix en anglais Textes en anglais"
2871,Madden NFL 08,PSP,2007.0,Sports,Electronic Arts,0.6,0.04,0.0,0.07,0.71,--,(4),18.5,"Editeur(s) / Développeur(s) Electronic Arts EA Tiburon
Sortie France 23 août 2007
Genre(s) Sport
Classification +3 ans
Web Site officiel
Support(s) UMD
Date de sortie (aux Etats-Unis) 14 août 2007"
2872,Godzilla: Destroy All Monsters Melee,GC,2002.0,Fighting,Atari,0.55,0.14,0.0,0.02,0.71,7,(34),11.8,"Editeur(s) / Développeur(s) Pipeworks Software Infogrames
Sortie France nov. 2002
Genre(s) Combat
Classification +3 ans
Web Site officiel
Support(s) Nintendo Game Disc DVD
Langue de la version disponible en France Voix en français Textes en français"
2873,Jeremy McGrath Supercross 2000,PS,2000.0,Racing,Acclaim Entertainment,0.4,0.27,0.0,0.05,0.71,9,(8),9.4,"Editeur(s) / Développeur(s) Acclaim
Sortie France 25 août 2000
Genre(s) Sport Course
Classification +3 ans
Support(s) GDROM Cartouche CD
Langue de la version disponible en France Voix en français Textes en français"
2874,Conker: Live And Reloaded,XB,2005.0,Adventure,Microsoft Game Studios,0.49,0.2,0.0,0.02,0.71,17,(100),17.7,"Editeur(s) / Développeur(s) Rareware Microsoft
Sortie France 24 juin 2005
Genre(s) Action Plate-Forme
Classification +16 ans
Mode(s) Multi sur le même écran Multi en ligne
Nombre maximum de joueurs 2 joueurs en splitté, jusqu'à 16 online
Web Site officiel
Support(s) DVD
Langue de la version disponible en France Voix en français Textes en français"
2875,Silent Hill 3,PS2,2003.0,Action,Konami Digital Entertainment,0.35,0.27,0.0,0.09,0.71,17,(146),17.5,"Editeur(s) / Développeur(s) Konami
Sortie France 23 mai 2003
Genre(s) Survival-Horror
Classification +16 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs Non
Support(s) DVD
Date de sortie (aux Etats-Unis) 06 août 2003
Date de sortie (au Japon) 03 juillet 2003
Langue de la version disponible en France Textes en français Voix en anglais"
2876,Madden NFL 09,PSP,2008.0,Sports,Electronic Arts,0.65,0.0,0.0,0.06,0.71,--,(1),18,"Editeur(s) / Développeur(s) Electronic Arts EA Tiburon
Sortie France Date de sortie inconnue
Genre(s) Sport
Classification +3 ans
Support(s) UMD
Date de sortie (aux Etats-Unis) 12 août 2008"
2877,Final Fantasy X/X-2 HD Remaster,PS4,2015.0,Role-Playing,Square Enix,0.29,0.25,0.06,0.11,0.71,no_data,no_data,no_data,no_data
2878,Yu-Gi-Oh! The Falsebound Kingdom,GC,2002.0,Strategy,Konami Digital Entertainment,0.49,0.13,0.07,0.02,0.71,no_data,no_data,no_data,no_data
2879,LEGO Rock Band,Wii,2009.0,Misc,Warner Bros. Interactive Entertainment,0.42,0.22,0.0,0.07,0.71,13,(11),14.1,"Editeur(s) / Développeur(s) TT Games Warner Interactive
Sortie France 26 nov. 2009
Genre(s) Rythme
Classification +7 ans
Nombre maximum de joueurs Jusqu'à 4 joueurs
Web Site officiel
Support(s) DVD
Langue de la version disponible en France Voix en français Textes en français
Configuration conseillée Un pack complet d'instruments (guitare, basse, batterie et micro)"
2880,MLB 10: The Show,PS3,2010.0,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.05,0.71,--,no_data,no_data,"Editeur(s) / Développeur(s) Sony Interactive Entertainment
Sortie France 09 juil. 2018
Genre(s) Sport"
2881,Spyro: Enter the Dragonfly,GC,2002.0,Platform,Universal Interactive,0.55,0.14,0.0,0.02,0.71,13,(27),13.4,"Editeur(s) / Développeur(s) Equinoxe Entertainment Universal Studios
Sortie France 29 nov. 2002
Genre(s) Plate-Forme
Classification +3 ans
Mode(s) Jouable en solo
Support(s) CD Nintendo Game Disc
Langue de la version disponible en France Voix en français Textes en français"
2882,Scooby-Doo 2: Monsters Unleashed,GBA,2004.0,Action,THQ,0.51,0.19,0.0,0.01,0.71,no_data,no_data,no_data,no_data
2883,Power Rangers: Dino Thunder,PS2,2004.0,Action,THQ,0.35,0.27,0.0,0.09,0.71,9,(9),10.8,"Editeur(s) / Développeur(s) THQ
Sortie France 18 févr. 2005
Genre(s) Action
Classification +3 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs Non
Support(s) DVD
Langue de la version disponible en France Textes en français Voix en anglais"
2884,Rhythm Heaven: The Best+,3DS,2015.0,Misc,Nintendo,0.0,0.0,0.71,0.0,0.71,--,(1),19,"Sortie France Date de sortie inconnue
Genre(s) Rythme
Mode(s) Jouable en solo
Web Site officiel
Titre au Japon Rhythm Tengoku : The Best Plus
Date de sortie (au Japon) 11 juin 2015"
2885,LEGO Racers,N64,1999.0,Racing,LEGO Media,0.51,0.18,0.0,0.01,0.71,--,(4),10.5,"Editeur(s) / Développeur(s) High Voltage Lego Media
Sortie France 15 oct. 1999
Genre(s) Course Action
Classification +3 ans
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 31 octobre 1999"
2886,WWF Attitude,N64,1999.0,Fighting,Acclaim Entertainment,0.57,0.13,0.0,0.01,0.71,--,(7),15.7,"Editeur(s) / Développeur(s) Acclaim
Sortie France Date de sortie inconnue
Genre(s) Combat Sport
Classification +12 ans
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 31 août 1999"
2887,Blast Corps,N64,1997.0,Action,Nintendo,0.39,0.09,0.17,0.06,0.71,--,(7),16.4,"Editeur(s) / Développeur(s) Rareware Nintendo
Sortie France 01 sept. 1997
Genre(s) Action
Classification +3 ans
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 28 février 1997
Date de sortie (au Japon) 21 mars 1997"
2888,LEGO Harry Potter: Years 1-4,PSP,2010.0,Action,Warner Bros. Interactive Entertainment,0.14,0.37,0.0,0.19,0.71,--,(23),13,"Editeur(s) / Développeur(s) TT Games Warner Interactive
Sortie France 24 juin 2010
Genre(s) Action Aventure
Classification +7 ans
Mode(s) Jouable en solo Multi en coopératif
Modèle(s) économique(s) Payant à l'acquisition
Support(s) UMD
Langue de la version disponible en France Voix en français Textes en français"
2889,Tactics Ogre: Let Us Cling Together,SNES,1995.0,Role-Playing,Quest,0.0,0.0,0.71,0.0,0.71,17,(46),16.9,"Editeur(s) / Développeur(s) Square Enix
Sortie France 25 févr. 2011
Genre(s) RPG Tactique
Classification +3 ans
Mode(s) Jouable en solo
Web Site officiel
Support(s) Console Virtuelle UMD
Date de sortie (aux Etats-Unis) 15 février 2011
Date de sortie (au Japon) 11 novembre 2010
Langue de la version disponible en France Voix en anglais Textes en anglais"
2890,"WarioWare, Inc.: Mega Party Game$",GC,2003.0,Puzzle,Nintendo,0.2,0.05,0.44,0.02,0.71,12,(48),15.9,"Editeur(s) / Développeur(s) Nintendo Intelligent Systems
Sortie France 03 sept. 2004
Genre(s) Party-Game
Classification +3 ans
Nombre maximum de joueurs 1 à 4 joueurs
Web Site officiel
Support(s) Nintendo Game Disc
Date de sortie (aux Etats-Unis) 06 avril 2004"
2891,Football Manager 2014,PC,2013.0,Sports,Sega,0.0,0.6,0.0,0.1,0.71,17,(90),11.4,"Editeur(s) / Développeur(s) Sports Interactive Sega
Sortie France 31 oct. 2013
Genre(s) Gestion Sport
Classification +3 ans
Mode(s) Multi en ligne
Support(s) DVD
Date de sortie (aux Etats-Unis) 31 octobre 2013
Langue de la version disponible en France Voix en français Textes en français"
2892,Battle Arena Toshinden 2,PS,1995.0,Fighting,Sony Computer Entertainment,0.15,0.1,0.41,0.05,0.71,--,(6),14.3,"Editeur(s) / Développeur(s) Sony Tamsoft
Sortie France 1996
Genre(s) Combat
Nombre maximum de joueurs 2 joueurs
Support(s) CD"
2893,WWE SmackDown vs. Raw 2011,PSP,2010.0,Fighting,THQ,0.22,0.31,0.0,0.17,0.71,15,(73),16,"Editeur(s) / Développeur(s) Yuke's Media Creation THQ
Sortie France 29 oct. 2010
Genre(s) Sport Combat
Thème(s) Catch
Classification +16 ans
Mode(s) Jouable en solo Multi en local
Nombre maximum de joueurs 4 joueurs
Web Site officiel
Modèle(s) économique(s) Payant à l'acquisition
Support(s) UMD
Langue de la version disponible en France Voix en français Textes en français"
2894,Jeopardy!,PS,1997.0,Misc,Hasbro Interactive,0.39,0.27,0.0,0.05,0.71,--,no_data,no_data,"Editeur(s) / Développeur(s) THQ Park Place Productions GameTek Daybreak Game Company
Sortie France 1993
Genre(s) Autres Réflexion Party-Game
Classification +3 ans
Support(s) Cartouche DVD PlayStation Store iDensity
Date de sortie (aux Etats-Unis) 01 décembre 1992"
2895,South Park,PS,1998.0,Shooter,Acclaim Entertainment,0.39,0.27,0.0,0.05,0.71,13,(14),16.3,"Editeur(s) / Développeur(s) Iguana Entertainment Acclaim
Sortie France 05 mars 1999
Genre(s) FPS Tir
Classification +12 ans
Mode(s) Jouable en solo
Modèle(s) économique(s) Payant à l'acquisition
Support(s) Cartouche CD
Date de sortie (aux Etats-Unis) 22 décembre 1998
Langue de la version disponible en France Textes en français Voix en anglais"
2896,Metal Gear Solid V: The Phantom Pain,XOne,2015.0,Action,Konami Digital Entertainment,0.37,0.26,0.01,0.06,0.71,--,(8),17,"Editeur(s) / Développeur(s) Konami
Sortie France 11 oct. 2016
Genre(s) Aventure Action Infiltration
Thème(s) Espionnage
Classification +18 ans
Mode(s) Jouable en solo Multi en ligne
Modèle(s) économique(s) Payant à l'acquisition
Support(s) Steam"
2897,Two Worlds,X360,2007.0,Role-Playing,SouthPeak Games,0.41,0.23,0.0,0.07,0.71,16,(126),13.7,"Editeur(s) / Développeur(s) Zuxxez Reality Pump Southpeak Interactive
Sortie France 18 mai 2007
Genre(s) RPG
Classification +16 ans
Mode(s) Multi en ligne
Web Site officiel
Support(s) DVD
Langue de la version disponible en France Voix en français Textes en français"
2898,Doom 3: Resurrection of Evil,XB,2005.0,Shooter,Activision,0.53,0.15,0.0,0.03,0.71,14,(6),17.7,"Editeur(s) / Développeur(s) Nerve Software Activision
Sortie France 08 avr. 2005
Genre(s) FPS
Classification +18 ans
Web Site officiel
Support(s) DVD CD
Langue de la version disponible en France Voix en français Textes en français"
2899,NCAA Football 09,X360,2008.0,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.71,--,(1),15,"Editeur(s) / Développeur(s) EA Tiburon Electronic Arts
Sortie France Date de sortie inconnue
Genre(s) Sport
Mode(s) Multi en ligne
Support(s) DVD UMD Blu-Ray
Date de sortie (aux Etats-Unis) 15 juillet 2008
Langue de la version disponible en France Voix en anglais Textes en anglais"
2900,NBA Live 09,X360,2008.0,Sports,Electronic Arts,0.5,0.14,0.0,0.07,0.71,17,(54),18,"Editeur(s) / Développeur(s) EA Sports Electronic Arts
Sortie France 09 oct. 2008
Genre(s) Sport
Classification +3 ans
Mode(s) Multi en ligne
Web Site officiel
Support(s) DVD UMD Blu-Ray
Date de sortie (aux Etats-Unis) 07 octobre 2008
Date de sortie (au Japon) 23 octobre 2008
Langue de la version disponible en France Voix en français Textes en français"
2901,Ratchet & Clank: Into the Nexus,PS3,2013.0,Shooter,Sony Computer Entertainment,0.3,0.29,0.0,0.11,0.71,no_data,no_data,no_data,no_data
2902,Spider-Man 2,PSP,2005.0,Action,Activision,0.35,0.21,0.0,0.14,0.71,10,(24),14,"Editeur(s) / Développeur(s) Vicarious Visions Activision
Sortie France 01 sept. 2005
Genre(s) Action Plate-Forme
Classification +12 ans
Web Site officiel
Support(s) UMD
Langue de la version disponible en France Voix en français Textes en français"
2903,2014 FIFA World Cup Brazil,PS3,2014.0,Sports,Electronic Arts,0.15,0.39,0.01,0.16,0.71,no_data,no_data,no_data,no_data
2904,London 2012: The Official Video Game of the Olympic Games,PS3,2012.0,Sports,Sega,0.06,0.5,0.0,0.15,0.7,no_data,no_data,no_data,no_data
2905,NHL 12,X360,2011.0,Sports,Electronic Arts,0.55,0.1,0.0,0.05,0.7,16,(49),16.6,"Editeur(s) / Développeur(s) EA Canada EA Sports
Sortie France 08 sept. 2011
Genre(s) Sport
Classification +16 ans
Mode(s) Multi en ligne
Support(s) DVD Blu-Ray
Date de sortie (aux Etats-Unis) 13 septembre 2011
Langue de la version disponible en France Textes en français Voix en anglais"
2906,Tony Hawk's Underground,GC,2003.0,Sports,Activision,0.54,0.14,0.0,0.02,0.7,17,(16),17.9,"Editeur(s) / Développeur(s) Neversoft Activision
Sortie France 21 nov. 2003
Genre(s) Action Sport
Classification +16 ans
Web Site officiel
Support(s) DVD Nintendo Game Disc Cartouche
Date de sortie (aux Etats-Unis) 27 octobre 2003
Langue de la version disponible en France Textes en français Voix en anglais Textes en anglais"
2907,Infinite Undiscovery,X360,2008.0,Role-Playing,Square Enix,0.34,0.18,0.12,0.06,0.7,15,(66),14.9,"Editeur(s) / Développeur(s) Tri-Ace Square Enix
Sortie France 05 sept. 2008
Genre(s) RPG Action
Classification +16 ans
Web Site officiel
Support(s) DVD"
2908,Super Bomberman 3,SNES,1994.0,Puzzle,Hudson Soft,0.0,0.0,0.7,0.0,0.7,--,(2),17.5,"Editeur(s) / Développeur(s) Hudson Soft
Sortie France 15 oct. 1995
Genre(s) Tactique Action
Nombre maximum de joueurs 5 joueurs avec le Super Multitap
Support(s) Cartouche
Date de sortie (au Japon) 28 avril 1995"
2909,Command & Conquer: Red Alert Retaliation,PS,1998.0,Strategy,Virgin Interactive,0.39,0.27,0.0,0.05,0.7,no_data,no_data,no_data,no_data
2910,The Sims 2: Apartment Pets,DS,2008.0,Simulation,Electronic Arts,0.32,0.31,0.0,0.07,0.7,7,(28),7.9,"Editeur(s) / Développeur(s) Electronic Arts
Sortie France 28 août 2008
Genre(s) Gestion
Classification +3 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs non
Support(s) Cartouche"
2911,Star Wars: Obi-Wan,XB,2001.0,Action,Activision,0.52,0.16,0.0,0.02,0.7,--,(2),14.5,"Sortie France 01 nov. 2005
Arrêt définitif des serveurs 15 décembre 2011
Genre(s) MMO RPG
Support(s) CD"
2912,NCAA Football 08,X360,2007.0,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.7,--,(0),--,"Editeur(s) / Développeur(s) EA Tiburon EA Sports
Sortie France Date de sortie inconnue
Genre(s) Sport
Support(s) Blu-Ray DVD CD
Date de sortie (aux Etats-Unis) 17 juillet 2007"
2913,Kill.Switch,PS2,2003.0,Shooter,Sony Computer Entertainment,0.34,0.27,0.0,0.09,0.7,13,(22),14.6,"Editeur(s) / Développeur(s) Namco
Sortie France 18 févr. 2004
Genre(s) Action
Classification +16 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs Non
Support(s) DVD
Langue de la version disponible en France Textes en français Voix en anglais"
2914,Lalaloopsy,DS,2011.0,Simulation,Activision,0.54,0.1,0.0,0.06,0.7,7,no_data,no_data,"Editeur(s) / Développeur(s) 1st Playable Productions Activision
Sortie France 18 nov. 2011
Genre(s) Party-Game Aventure
Classification +3 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs non
Support(s) Cartouche"
