Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,description_JVC
7267,Dead Island,PC,2011.0,Action,Deep Silver,0.12,0.07,0.0,0.03,0.22,16,(497),15.3,"Editeur(s) / Développeur(s) Deep Silver Techland
Sortie France 09 sept. 2011
Genre(s) Survie Action FPS
Thème(s) Zombies
Classification +18 ans
Mode(s) Jouable en solo Multi en ligne Multi en coopératif
Nombre maximum de joueurs 4 joueurs
Modèle(s) économique(s) Payant à l'acquisition
Support(s) DVD
Langue de la version disponible en France Textes en français Voix en anglais"
7268,Growlanser: Heritage of War,PS2,2006.0,Role-Playing,Rising Star Games,0.11,0.08,0.0,0.03,0.22,no_data,no_data,no_data,no_data
7269,Hasbro Family Game Night,DS,2009.0,Puzzle,Electronic Arts,0.01,0.19,0.0,0.02,0.22,--,no_data,no_data,"Editeur(s) / Développeur(s) Electronic Arts
Sortie France oct. 2011
Genre(s) Compilation Jeu de société
Support(s) Blu-Ray DVD"
7270,Shin Megami Tensei x Fire Emblem,WiiU,2015.0,Role-Playing,Nintendo,0.1,0.04,0.06,0.01,0.22,no_data,no_data,no_data,no_data
7271,Rugby 2004,PS2,2003.0,Sports,Electronic Arts,0.11,0.08,0.0,0.03,0.22,no_data,no_data,no_data,no_data
7272,Disney's Magical Quest Starring Mickey and Minnie,GBA,2002.0,Action,Nintendo,0.16,0.06,0.0,0.0,0.22,no_data,no_data,no_data,no_data
7273,Spirit Camera: The Cursed Memoir,3DS,2012.0,Adventure,Nintendo,0.12,0.02,0.06,0.01,0.22,14,(42),13.3,"Editeur(s) / Développeur(s) Tecmo Koei Nintendo
Sortie France 29 juin 2012
Genre(s) Aventure Survival-Horror
Classification +16 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs non
Web Site officiel
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 13 avril 2012
Date de sortie (au Japon) 12 janvier 2012
Configuration conseillée fauteuil à roulettes pour pivoter à 360°"
7274,NBA 06,PSP,2005.0,Sports,Sony Computer Entertainment,0.2,0.0,0.0,0.02,0.22,13,(25),17.8,"Editeur(s) / Développeur(s) 2K Sports Visual Concepts
Sortie France 10 mars 2006
Genre(s) Sport
Classification +3 ans
Mode(s) Multi en ligne
Support(s) DVD
Langue de la version disponible en France Textes en français Voix en anglais"
7275,Naruto: Ninja Council,GBA,2003.0,Action,Tomy Corporation,0.16,0.06,0.0,0.0,0.22,8,(27),11.3,"Editeur(s) / Développeur(s) Takara Tomy 505 Games
Sortie France 12 nov. 2010
Genre(s) Action Plate-Forme
Classification +12 ans
Nombre maximum de joueurs jusqu'à 4 joueurs
Web Site officiel
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 12 novembre 2010
Date de sortie (au Japon) 10 juillet 2008"
7276,Shin Megami Tensei: Persona,PSP,2009.0,Role-Playing,Atlus,0.08,0.0,0.13,0.01,0.22,17,(122),18.2,"Editeur(s) / Développeur(s) Atlus
Sortie France 04 avr. 2017
Genre(s) RPG
Support(s) Blu-Ray
Date de sortie (aux Etats-Unis) 04 avril 2017
Date de sortie (au Japon) 15 septembre 2016
Langue de la version disponible en France Voix en anglais Textes en anglais"
7277,DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana,DS,2007.0,Adventure,Tecmo Koei,0.0,0.0,0.22,0.0,0.22,--,(0),--,"Editeur(s) / Développeur(s) Tecmo
Sortie France Date de sortie inconnue
Genre(s) Aventure
Mode(s) Jouable en solo
Nombre maximum de joueurs non
Web Site officiel
Support(s) Cartouche
Date de sortie (au Japon) 11 octobre 2007"
7278,Wreckless: ThE YaKuza MisSiOns,PS2,2002.0,Racing,Activision,0.11,0.08,0.0,0.03,0.22,8,(7),9.6,"Editeur(s) / Développeur(s) Bunkasha Games Activision
Sortie France nov. 2002
Genre(s) Course Action
Classification +16 ans
Nombre maximum de joueurs 2 joueurs
Support(s) CD
Langue de la version disponible en France Voix en français Textes en français"
7279,Madden NFL 07,DS,2006.0,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.22,--,no_data,no_data,"Editeur(s) / Développeur(s) Electronic Arts EA Sports
Sortie France 2006
Genre(s) Sport
Classification +3 ans
Web Site officiel
Support(s) Cartouche"
7280,Jikkyou Powerful Major League,PS2,2006.0,Sports,Konami Digital Entertainment,0.0,0.0,0.22,0.0,0.22,no_data,no_data,no_data,no_data
7281,NFL 2K3,GC,2002.0,Sports,Sega,0.17,0.04,0.0,0.01,0.22,17,(2),18,"Editeur(s) / Développeur(s) Visual Concepts Sega
Sortie France 26 mars 2003
Genre(s) Sport
Classification +3 ans
Support(s) DVD Nintendo Game Disc
Date de sortie (aux Etats-Unis) 21 août 2002
Langue de la version disponible en France Voix en anglais Textes en anglais"
7282,Darksiders II,PS4,2015.0,Action,Nordic Games,0.09,0.1,0.0,0.04,0.22,17,(35),16.7,"Editeur(s) / Développeur(s) Nordic Games Vigil Games
Sortie France 27 oct. 2015
Genre(s) Action Aventure
Thème(s) Post-apocalyptique Heroic Fantasy
Classification +16 ans
Mode(s) Jouable en solo
Modèle(s) économique(s) Payant à l'acquisition
Support(s) Blu-Ray
Langue de la version disponible en France Voix en français Textes en français"
7283,Saltwater Sportfishing,PS,2001.0,Sports,Take-Two Interactive,0.12,0.08,0.0,0.01,0.22,--,(0),--,"Editeur(s) / Développeur(s) Take-Two Interactive Coresoft
Sortie France Date de sortie inconnue
Genre(s) Sport
Support(s) CD
Date de sortie (aux Etats-Unis) 28 novembre 2001"
7284,Yoshi Touch & Go (JP sales),DS,2005.0,Platform,Nintendo,0.0,0.0,0.22,0.0,0.22,no_data,no_data,no_data,no_data
7285,Samurai Jack: The Amulet of Time,GBA,2003.0,Platform,Zoo Digital Publishing,0.16,0.06,0.0,0.0,0.22,--,(2),17.5,"Editeur(s) / Développeur(s) Virtucraft Zoo Digital
Sortie France sept. 2005
Genre(s) Action
Support(s) Cartouche"
7286,Pass the Pigs,DS,2008.0,Misc,THQ,0.2,0.0,0.0,0.02,0.22,no_data,no_data,no_data,no_data
7287,J-League Winning Eleven 2008: Club Championship,PS2,2008.0,Sports,Konami Digital Entertainment,0.0,0.0,0.22,0.0,0.22,no_data,no_data,no_data,no_data
7288,Jackie Chan: Stuntmaster,PS,1999.0,Action,Sony Computer Entertainment,0.12,0.08,0.0,0.01,0.22,11,(24),12.9,"Editeur(s) / Développeur(s) Radical Entertainment Sony
Sortie France 17 mai 2000
Genre(s) Action Combat
Classification +12 ans
Mode(s) Jouable en solo
Nombre maximum de joueurs Non
Support(s) CD
Langue de la version disponible en France Voix en anglais Textes en anglais"
7289,Sports Car GT,PS,1999.0,Racing,Electronic Arts,0.12,0.08,0.0,0.01,0.22,--,(2),19.5,"Editeur(s) / Développeur(s) Image Space Electronic Arts
Sortie France Date de sortie inconnue
Genre(s) Course
Classification +3 ans
Support(s) CD
Date de sortie (aux Etats-Unis) 23 avril 1999"
