,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,description_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,Langue_JVC
0,1,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,14,(687),13.8,"Editeur(s) / Développeur(s) Nintendo
Sortie France 08 déc. 2006
Genre(s) Sport Party-Game
Classification +7 ans
Nombre maximum de joueurs Jusqu'à 4 joueurs
Web Site officiel
Support(s) DVD
Date de sortie (aux Etats-Unis) 19 novembre 2006
Date de sortie (au Japon) 02 décembre 2006
Langue de la version disponible en France Voix en français Textes en français",+7 ans,Jusqu'à 4 joueurs,,DVD,Voix en français Textes en français
1,2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,19,(3),19,"Editeur(s) / Développeur(s) Nintendo
Sortie France 15 mai 1987
Genre(s) Plate-Forme
Classification +3 ans
Mode(s) Jouable en solo
Support(s) eShop Console Virtuelle Cartouche
Date de sortie (aux Etats-Unis) 17 novembre 1985
Date de sortie (au Japon) 13 septembre 1985",+3 ans,,Jouable en solo,eShop Console Virtuelle Cartouche,
2,3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,16,(3023),17.4,"Editeur(s) / Développeur(s) Nintendo
Sortie France 11 avr. 2008
Genre(s) Course
Classification +3 ans
Mode(s) Multi sur le même écran Multi en ligne
Nombre maximum de joueurs 4 joueurs en écran partagé, 12 joueurs online
Web Site officiel
Support(s) DVD
Date de sortie (aux Etats-Unis) 27 avril 2008
Date de sortie (au Japon) 10 avril 2008",+3 ans,"4 joueurs en écran partagé, 12 joueurs online",Multi sur le même écran Multi en ligne,DVD,
3,4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,15,(581),16.5,"Editeur(s) / Développeur(s) Nintendo
Sortie France 24 juil. 2009
Genre(s) Sport Party-Game
Classification +3 ans
Nombre maximum de joueurs Jusqu'à 4 joueurs
Web Site officiel
Support(s) DVD
Date de sortie (aux Etats-Unis) 26 juillet 2009
Date de sortie (au Japon) 25 juin 2009
Langue de la version disponible en France Voix en français Textes en français
Configuration minimale Le nunchuk par Wiimote pour certains jeux",+3 ans,Jusqu'à 4 joueurs,,DVD,Voix en français Textes en français
4,5,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,no_data,no_data,no_data,no_data,,,,,
5,6,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,--,(8),17.8,"Editeur(s) / Développeur(s) EA Mobile
Sortie France avr. 2011
Genre(s) Autres
Support(s) Google Play",,,,,
6,7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,17,(1370),17.4,"Editeur(s) / Développeur(s) Nintendo
Sortie France 30 juin 2006
Genre(s) Plate-Forme
Thème(s) Fantastique
Classification +3 ans
Mode(s) Jouable en solo Multi en local
Nombre maximum de joueurs 4 joueurs
Web Site officiel
Modèle(s) économique(s) Payant à l'acquisition
Support(s) Cartouche
Date de sortie (aux Etats-Unis) 15 mai 2006
Langue de la version disponible en France Textes en français",+3 ans,4 joueurs,Jouable en solo Multi en local,Cartouche,Textes en français
7,8,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,12,(223),12.1,"Editeur(s) / Développeur(s) Nintendo
Sortie France 08 déc. 2006
Genre(s) Party-Game Action
Classification +3 ans
Nombre maximum de joueurs Jusqu'à 2 joueurs
Support(s) DVD
Date de sortie (aux Etats-Unis) 14 février 2007
Date de sortie (au Japon) 02 décembre 2006
Langue de la version disponible en France Voix en français Textes en français",+3 ans,Jusqu'à 2 joueurs,,DVD,Voix en français Textes en français
8,9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,18,(1564),17.7,"Editeur(s) / Développeur(s) Nintendo
Sortie France 20 nov. 2009
Genre(s) Plate-Forme
Classification +3 ans
Mode(s) Multi en coopératif
Nombre maximum de joueurs 1 à 4 joueurs en coopération
Web Site officiel
Support(s) DVD
Date de sortie (aux Etats-Unis) 15 novembre 2009
Date de sortie (au Japon) 03 décembre 2009
Langue de la version disponible en France Voix en français Textes en français",+3 ans,1 à 4 joueurs en coopération,Multi en coopératif,DVD,Voix en français Textes en français
9,10,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,14,(58),15.6,,,,,,
