,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,developpeur_goo,distributeur_goo,langue_goo,PEGI_goo,game_series_goo,game_mode_goo,developpeur_wiki,langue_wiki,PEGI_wiki,game_mode_wiki,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,Langue_JVC
0,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,"Nintendo, PLUS",,,,,,Nintendo EAD,Multilingue,7+ ?,"Un joueur
Multijoueur (de 2 à 4)",14,(687),13.8,+7 ans,Jusqu'à 4 joueurs,,DVD,Voix en français Textes en français
1,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,,Universal Pictures,Anglais,,,,,,,,19,(3),19,+3 ans,,Jouable en solo,eShop Console Virtuelle Cartouche,
2,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,,,,,,,Nintendo EAD,Multilingue,3+ ?,"Local
1 à 4 joueurs
En ligne (jusqu'au 20 mai 2014)
2 à 12 joueurs",16,(3023),17.4,+3 ans,"4 joueurs en écran partagé, 12 joueurs online",Multi sur le même écran Multi en ligne,DVD,
3,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,"Nintendo, Nintendo Entertainment Analysis & Development",,,,,Multijoueur,,,,,15,(581),16.5,+3 ans,Jusqu'à 4 joueurs,,DVD,Voix en français Textes en français
4,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,,,,,,,,,,,no_data,no_data,no_data,,,,,
5,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,"Alekseï Pajitnov, Sega, Spectrum HoloByte, Philips, PLUS",,,,,"Solo, Multijoueur",,,,,--,(8),17.8,,,,,
6,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,Nintendo EAD,,,,,,,,,,17,(1370),17.4,+3 ans,4 joueurs,Jouable en solo Multi en local,Cartouche,Textes en français
7,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,,,,,,,Nintendo EAD,"Version européenne : Anglais, Allemand, Français, Espagnol, Italien",3+ ?,Un à deux joueurs,12,(223),12.1,+3 ans,Jusqu'à 2 joueurs,,DVD,Voix en français Textes en français
8,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,,,,,,,,,,,18,(1564),17.7,+3 ans,1 à 4 joueurs en coopération,Multi en coopératif,DVD,Voix en français Textes en français
9,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,,,,,,,,,,,14,(58),15.6,,,,,
