,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,description_wiki
0,1,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,"Wii Sports
Logo officiel de Wii Sports.
Développeur
Nintendo EAD
Éditeur
Nintendo
Réalisateur
Katsuya Eguchi (producteur)
Kiyoshi Mizuki (producteur)
Shigeru Miyamoto (producteur)
Keizo Ohta (réalisateur)
Takayuki Shimamura (réalisateur)
Yoshikazu Yamashita (réalisateur)
Compositeur
Kazumi Totaka
Producteur
Shigeru Miyamoto, Katsuya Eguchi
Date de sortie
AN 19 novembre 2006
JPN 2 décembre 2006
AUS 7 décembre 2006
EUR 8 décembre 2006
KOR 26 avril 2008
CHN 12 juillet 2008
Genre
Sport
Mode de jeu
Un joueur
Multijoueur (de 2 à 4)
Plateforme
Wii
Langue
Multilingue
Évaluation
CERO : A ?
ESRB : E ?
PEGI : 7+ ?
USK : 0 ?
Site web
wiisports.nintendo.com
Wii (série) et Wii Sports (d)
- Wii Sports Resort
modifier - modifier le code - modifier Wikidata"
1,2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,Ne doit pas être confondu avec Mario Bros. ou Mario Bros. (Game and Watch).
2,3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,"Mario Kart Wii
Logo officiel de Mario Kart Wii.
Développeur
Nintendo EAD
Éditeur
Nintendo
Réalisateur
Hideki Konno (producteur)
Yasuyuki Oyagi (réalisateur)
Producteur
Hideki Konno
Date de sortie
JAP : 10 avril 2008
EUR : 11 avril 2008
AUS : 24 avril 2008
AN : 27 avril 2008
KOR : 30 avril 2008
Genre
Course
Combat motorisé
Mode de jeu
Local
1 à 4 joueurs
En ligne (jusqu'au 20 mai 2014)
2 à 12 joueurs
Plateforme
Wii
Langue
Multilingue
Évaluation
CERO : A ?
ESRB : E ?
OFLC (AU) : G ?
PEGI : 3+ ?
Site web
Site officiel
Mario Kart
Mario Kart DS Mario Kart 7
modifier - modifier le code - modifier Wikidata"
3,4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,"↑ « Game Credits for Wii Sports Resort » [archive], sur MobyGames.
↑ « Iwata demande : Wii Sports Resort » [archive], sur fr.wii.com (consulté le 7 août 2009)
↑ (en) Xavier, « Mario Kart 7 : Deux Coupes et le Mode Battle détaillés » [archive], Puissance-Nintendo, 2011 (consulté le 7 janvier 2012).
↑ « Time Square aux couleurs de Wii Sports Resort » [archive], sur Nintendo-Master, 2009 (consulté le 7 août 2009).
↑ « Wii Sports Resort » [archive], sur GameRankings (consulté le 7 août 2009).
↑ « Wii Sports Resort » [archive], sur Metacritic (consulté le 7 août 2009).
↑ « Test de Wii Sports Resort » [archive], sur Jeuxvideo.com, 2009 (consulté le 7 août 2009).
↑ « Test de Wii Sports Resort » [archive], sur Gamekult, 2009 (consulté le 7 août 2009).
↑
a b et c « Wii Sports Resort » [archive], sur VG Chartz (consulté le 7 août 2009).
↑ « Wii Fit » [archive], sur VG Chartz (consulté le 7 août 2009).
↑ (en) « Top Selling Software Sales Units » [archive], sur nintendo.co.jp (consulté le 5 novembre 2020)."
4,5,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,no_data
5,6,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,Vous lisez un « article de qualité » labellisé en 2015.
6,7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,"Cet article concerne le jeu sur Nintendo DS. Pour le jeu sur Wii, voir New Super Mario Bros. Wii."
7,8,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,"Wii Play
Développeur
Nintendo EAD
Éditeur
Nintendo
Réalisateur
Motoi Okamoto (directeur),
Katsuya Eguchi (producteur)1
Compositeur
Ryō Nagamatsu (d)
Producteur
Katsuya Eguchi
Date de sortie
2 décembre 2006
8 décembre 2006
12 février 2007
26 avril 2008
12 juillet 2008
Genre
Mini-jeux
Mode de jeu
Un à deux joueurs
Plateforme
Wii
Langue
Version européenne : Anglais, Allemand, Français, Espagnol, Italien
Évaluation
CERO : A ?
ESRB : E ?
OFLC (AU) : G ?
PEGI : 3+ ?
Site web
www.nintendo.com/sites/software_wiiplay.jsp
Wii (série) et Wii Play (d)
- Wii Play: Motion
modifier - modifier le code - modifier Wikidata"
8,9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,"Cette section est vide, insuffisamment détaillée ou incomplète. Votre aide est la bienvenue ! Comment faire ?"
9,10,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,Personne jouant à Duck Hunt avec le pistolet optique.
10,11,Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,Article connexe : Nintendogs + Cats.
