,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC
0,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,14.0,687.0,13.8,7.0,DVD
1,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,19.0,3.0,19.0,3.0,eShop Console Virtuelle Cartouche
2,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,16.0,3023.0,17.4,3.0,DVD
3,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,15.0,581.0,16.5,3.0,DVD
6,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,17.0,1370.0,17.4,3.0,Cartouche
7,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,12.0,223.0,12.1,3.0,DVD
8,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,18.0,1564.0,17.7,3.0,DVD
10,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,15.0,159.0,16.4,3.0,Cartouche
11,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,18.0,1585.0,17.7,3.0,Cartouche
13,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,15.0,227.0,16.2,3.0,DVD
14,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,16.0,129.0,15.9,3.0,DVD
15,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,11.0,3.0,16.3,7.0,Xbox Live Arcade
16,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,18.0,2489.0,17.3,18.0,PlayStation Store Blu-Ray
18,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,18.0,285.0,18.8,3.0,Cartouche
22,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,19.0,2.0,20.0,3.0,Cartouche eShop Console Virtuelle
23,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,18.0,1309.0,17.5,18.0,DVD Blu-Ray Contenu Xbox Live Online PlayStation Store
28,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,18.0,490.0,17.4,3.0,DVD
30,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,16.0,686.0,17.6,3.0,Cartouche
34,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,10.0,27.0,13.2,18.0,PlayStation Store
35,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,10.0,27.0,13.2,18.0,Online Contenu Xbox Live PlayStation Store
38,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,17.0,436.0,17.5,16.0,DVD
39,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,18.0,2740.0,18.6,12.0,DVD
42,Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,17.0,1828.0,17.1,3.0,Cartouche
43,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,17.0,1560.0,17.3,16.0,DVD
44,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,18.0,601.0,16.8,18.0,Blu-Ray PlayStation Store
46,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,19.0,736.0,18.8,3.0,Cartouche
47,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,18.0,480.0,17.7,7.0,DVD
48,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,19.0,1692.0,18.3,3.0,DVD
50,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,17.0,157.0,17.8,3.0,Cartouche
51,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,18.0,2846.0,17.6,18.0,Online PlayStation Store Contenu Xbox Live DVD Blu-Ray
52,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,13.0,373.0,14.2,3.0,UMD
53,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,16.0,1162.0,16.4,3.0,Cartouche
54,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,14.0,2409.0,15.2,3.0,Blu-Ray
56,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,18.0,2846.0,17.6,18.0,Blu-Ray
59,Super Mario 64,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,19.0,736.0,18.8,3.0,Console Virtuelle Cartouche
60,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,15.0,145.0,17.0,3.0,DVD
61,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,11.0,4.0,12.0,16.0,Online Contenu Xbox Live PlayStation Store
62,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,11.0,3.0,6.7,18.0,Steam Blu-Ray Windows Store
63,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,17.0,338.0,17.4,3.0,Cartouche
64,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,15.0,681.0,14.5,3.0,Cartouche
65,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,16.0,4.0,17.8,16.0,DVD
66,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,18.0,215.0,19.0,3.0,PlayStation Store Google Play CD
67,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,11.0,2.0,3.0,16.0,PlayStation Store
68,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,14.0,151.0,15.5,3.0,DVD
69,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,18.0,343.0,17.5,3.0,CD
72,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,19.0,4560.0,18.5,7.0,eShop Online DVD Xbox Live Arcade PlayStation Store
73,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,17.0,898.0,18.3,3.0,Cartouche
74,Mario Party DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,15.0,505.0,16.3,3.0,Cartouche
76,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,18.0,195.0,18.0,3.0,Cartouche
78,Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,11.0,315.0,15.7,3.0,DVD
79,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,18.0,573.0,18.4,16.0,DVD
80,Mario Party 8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,13.0,527.0,14.0,3.0,DVD
82,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,18.0,1224.0,15.0,3.0,Blu-Ray
83,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,15.0,20.0,14.5,12.0,DVD
86,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,17.0,1169.0,18.4,12.0,DVD
87,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,18.0,109.0,18.9,12.0,CD PlayStation Store
88,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,16.0,835.0,17.0,3.0,Cartouche
89,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,15.0,4.0,19.3,3.0,Cartouche Google Play Disquette Online Navigateur Internet Console Virtuelle Xbox Live Arcade eShop
90,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,17.0,285.0,18.0,18.0,Contenu Xbox Live PlayStation Store Online
91,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,19.0,1541.0,18.4,3.0,DVD
94,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,18.0,1394.0,19.3,3.0,Cartouche
96,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,19.0,2.0,17.0,3.0,Online Cartouche eShop Console Virtuelle
98,Call of Duty: World at War,X360,2008,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,11.0,143.0,14.5,18.0,Online Contenu Xbox Live PlayStation Store
99,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,16.0,3601.0,17.0,16.0,Online Contenu Xbox Live Xbox Live Arcade Blu-Ray DVD PlayStation Store
103,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,15.0,3601.0,17.0,16.0,Blu-Ray
104,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,14.0,121.0,16.7,3.0,DVD
105,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,18.0,28.0,18.1,12.0,PlayStation Store CD
108,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,16.0,696.0,16.9,3.0,iDensity
110,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,17.0,888.0,18.0,3.0,Nintendo Game Disc
111,Just Dance 4,Wii,2012,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,15.0,104.0,17.5,3.0,DVD
112,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,17.0,1056.0,10.3,3.0,Blu-Ray
113,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,15.0,205.0,17.7,3.0,DVD
114,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,17.0,199.0,17.2,12.0,DVD
115,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,18.0,2542.0,18.0,16.0,Blu-Ray
116,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,18.0,17.0,18.2,3.0,PlayStation Store Google Play CD
117,Zumba Fitness,Wii,2010,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,9.0,18.0,11.6,3.0,DVD
118,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,19.0,1797.0,18.2,18.0,DVD
121,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,18.0,1283.0,16.0,3.0,Blu-Ray
122,Big Brain Academy,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,13.0,79.0,15.2,3.0,Cartouche
123,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,18.0,3483.0,18.5,18.0,Blu-Ray
124,FIFA 15,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,15.0,838.0,9.2,3.0,Blu-Ray
125,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,18.0,604.0,17.8,3.0,DVD
127,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,19.0,190.0,17.8,3.0,Console Virtuelle eShop Cartouche CD
128,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,18.0,1926.0,17.1,18.0,Blu-Ray
129,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,18.0,212.0,17.2,16.0,Blu-Ray
131,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,15.0,658.0,17.6,12.0,DVD
132,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,15.0,270.0,17.4,3.0,Cartouche
134,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,18.0,2847.0,18.7,18.0,Blu-Ray DVD
135,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,18.0,849.0,18.3,3.0,Nintendo Game Disc
137,World of Warcraft,PC,2004,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,18.0,1099.0,16.6,12.0,Online CD
138,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,19.0,184.0,17.6,3.0,Cartouche App Store PlayStation Store CD
139,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,13.0,151.0,16.1,3.0,DVD
140,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,19.0,1360.0,18.3,18.0,DVD
141,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,18.0,1003.0,17.5,18.0,DVD Blu-Ray
144,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,17.0,1567.0,18.3,18.0,PlayStation Store Blu-Ray
145,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,18.0,177.0,17.5,3.0,PlayStation Store CD Nintendo Game Disc
146,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,19.0,3082.0,18.7,18.0,Blu-Ray
147,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,19.0,1222.0,17.2,16.0,DVD
148,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,18.0,1106.0,17.9,7.0,Blu-Ray
150,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,14.0,98.0,16.5,3.0,DVD
151,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,18.0,253.0,18.4,16.0,PlayStation Store Cartouche CD GDROM Nintendo Game Disc
152,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,11.0,95.0,16.3,12.0,PlayStation Store CD
153,Cooking Mama,DS,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,12.0,2.0,15.5,3.0,App Store DVD
154,Destiny,PS4,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,12.0,850.0,14.6,16.0,Blu-Ray
156,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,18.0,2351.0,18.0,18.0,Blu-Ray
157,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,16.0,283.0,17.0,3.0,Cartouche
159,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,11.0,0.0,15.0,16.0,Blu-Ray
160,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,17.0,784.0,17.3,3.0,DVD
161,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,16.0,1010.0,18.4,12.0,UMD
163,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,18.0,308.0,17.3,3.0,Cartouche
164,Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,17.0,144.0,17.8,3.0,Cartouche
165,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,14.0,103.0,15.3,3.0,Cartouche
166,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,11.0,143.0,14.5,18.0,PlayStation Store
167,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,13.0,169.0,15.9,3.0,CD
168,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,11.0,122.0,17.0,7.0,PlayStation Store
169,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,16.0,2343.0,15.3,16.0,Blu-Ray
171,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,15.0,48.0,15.3,3.0,Console Virtuelle Cartouche
172,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,18.0,1926.0,17.1,18.0,Online Blu-Ray DVD Contenu Xbox Live Steam uPlay iDensity PlayStation Store
173,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,18.0,7.0,19.6,3.0,App Store Google Play CD PlayStation Store
174,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,17.0,367.0,14.9,12.0,DVD
176,Assassin's Creed II,X360,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,18.0,1940.0,18.2,18.0,CD PlayStation Store Contenu Xbox Live DVD Blu-Ray
180,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,19.0,739.0,18.4,12.0,DVD
182,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,19.0,2.0,20.0,3.0,Cartouche eShop Console Virtuelle
183,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,14.0,447.0,16.3,3.0,iDensity
184,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,16.0,98.0,17.6,3.0,Cartouche
185,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,18.0,1224.0,15.0,3.0,iDensity DVD App Store Cartouche Blu-Ray New Game Media UMD
186,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,18.0,1119.0,17.3,7.0,Cartouche
187,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,17.0,48.0,17.4,3.0,Cartouche
188,Tomodachi Life,3DS,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,15.0,159.0,15.2,3.0,Cartouche
190,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,12.0,170.0,14.2,12.0,DVD
192,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,17.0,1338.0,15.1,16.0,Contenu Xbox Live DVD Online
195,Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,17.0,49.0,17.6,3.0,DVD
196,Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.11,16.0,1039.0,15.2,18.0,Blu-Ray
197,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08,18.0,1309.0,17.5,18.0,DVD Blu-Ray Contenu Xbox Live Online PlayStation Store
198,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,11.0,17.0,17.4,18.0,App Store Google Play
200,Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,19.0,3.0,19.0,3.0,eShop Console Virtuelle Cartouche
201,Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,16.0,142.0,16.3,16.0,DVD
202,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,15.0,8.0,11.9,12.0,Cartouche
204,Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,15.0,35.0,17.4,12.0,CD
205,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,18.0,269.0,18.4,7.0,PlayStation Store CD
206,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0,10.0,163.0,13.7,12.0,DVD
207,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,11.0,21.0,17.4,3.0,DVD
208,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,17.0,705.0,17.7,16.0,DVD PlayStation Store Contenu Xbox Live Online Blu-Ray
211,Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,17.0,18.0,17.4,3.0,DVD
212,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.89,1.54,0.0,0.46,4.9,13.0,64.0,15.1,3.0,Cartouche
213,Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,17.0,84.0,17.3,3.0,Cartouche
215,Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,8.0,17.0,16.1,3.0,Console Virtuelle Cartouche eShop DsiWare
216,God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84,19.0,2490.0,18.7,18.0,Blu-Ray
217,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.56,1.68,0.0,0.59,4.83,18.0,1308.0,17.3,16.0,DVD Online
219,FIFA 15,PS3,2014,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82,11.0,133.0,9.4,3.0,Blu-Ray
222,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76,11.0,2.0,17.5,16.0,Blu-Ray DVD
225,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,17.0,3.0,18.7,3.0,GDROM Cartouche CD
226,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68,14.0,627.0,16.3,3.0,DVD
227,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,17.0,177.0,16.6,12.0,DVD
228,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64,17.0,661.0,17.6,3.0,DVD
229,Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,18.0,769.0,17.5,18.0,Blu-Ray DVD
230,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.06,1.12,0.0,0.44,4.62,18.0,147.0,18.3,12.0,DVD
