,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC,langue_parlée_JVC,texte_JVC
1,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,84.0,14.0,8.4,119.0,19.0,3.0,19.0,3.0,Autre,français,français
5,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,65.0,10.0,8.0,7.0,11.0,8.0,17.8,3.0,Autre,français,français
7,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,58.0,41.0,6.6,190.0,12.0,223.0,12.1,3.0,DVD,français,français
10,Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,83.0,54.0,7.6,125.0,15.0,159.0,16.4,3.0,Cartouche,français,français
13,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,80.0,63.0,7.7,164.0,15.0,227.0,16.2,3.0,DVD,français,français
14,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,80.0,33.0,7.6,78.0,16.0,129.0,15.9,3.0,DVD,français,français
15,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,61.0,45.0,6.3,130.0,11.0,3.0,16.3,7.0,Autre,français,français
17,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.1,3387.0,14.0,50.0,9.8,3.0,Autre,français,français
18,Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,92.0,28.0,9.0,236.0,18.0,285.0,18.8,3.0,Cartouche,français,français
22,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,94.0,25.0,8.9,276.0,19.0,2.0,20.0,3.0,Autre,anglais,anglais
24,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.8,1449.0,14.0,50.0,9.8,3.0,Autre,français,français
29,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,88.0,81.0,3.5,8680.0,12.0,18.0,10.1,18.0,Autre,français,français
31,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,87.0,89.0,6.7,1746.0,11.0,1.0,1.0,3.0,Autre,français,français
