,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,developpeur_goo,PEGI_goo,developpeur_wiki,PEGI_wiki,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,meta_score,user_review,Rank,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,max_joueurs_JVC,Support_JVC,langue_parlée_JVC,texte_JVC,nb_joueurs_JVC,game_mode,game_mode_JVC
0,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,Nintendo,,Nintendo EAD,7.0,76.0,51.0,8.1,539.0,76.0,8.1,1.0,14.0,687.0,13.8,7.0,4.0,DVD,français,français,4.0,2.0,
1,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,,,,,84.0,14.0,8.4,119.0,,,,19.0,3.0,19.0,3.0,,eShop Console Virtuelle Cartouche,,,,,1.0
2,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,,,Nintendo EAD,3.0,82.0,73.0,8.5,1167.0,82.0,8.4,3.0,16.0,3023.0,17.4,3.0,4.0,DVD,,,4.0,2.0,2.0
3,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,Nintendo,,,,80.0,73.0,8.3,346.0,80.0,8.2,4.0,15.0,581.0,16.5,3.0,4.0,DVD,français,français,4.0,,
4,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,,,,,,,,,,,,,,,,,,,,,,
5,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,Alekseï,,,,65.0,10.0,8.0,7.0,,,,11.0,8.0,17.8,,,,,,,,
6,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,Nintendo,,,,89.0,65.0,8.5,807.0,89.0,8.5,7.0,17.0,1370.0,17.4,3.0,4.0,Cartouche,,français,4.0,,2.0
7,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,,,Nintendo EAD,3.0,58.0,41.0,6.6,190.0,,,,12.0,223.0,12.1,3.0,2.0,DVD,français,français,2.0,2.0,
8,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,,,,,87.0,80.0,8.3,920.0,87.0,8.3,9.0,18.0,1564.0,17.7,3.0,1.0,DVD,français,français,1.0,,2.0
9,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,,,,,,,,,,,,14.0,58.0,15.6,,,,,,,,
10,Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,,,,,83.0,54.0,7.6,125.0,,,,15.0,159.0,16.4,3.0,,Cartouche,,,,,
11,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,,,Nintendo EAD,3.0,91.0,64.0,8.7,802.0,91.0,8.7,12.0,18.0,1585.0,17.7,3.0,,Cartouche,,,,2.0,
12,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,,,,,,,,,,,,,,,,,,,,,,
13,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,,,,,80.0,63.0,7.7,164.0,,,,15.0,227.0,16.2,3.0,,DVD,,,,,1.0
14,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,,,,,80.0,33.0,7.6,78.0,80.0,7.5,15.0,16.0,129.0,15.9,3.0,,DVD,,,,,1.0
15,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,,,Good Science Studio (en),3.0,61.0,45.0,6.3,130.0,61.0,6.3,16.0,11.0,3.0,16.3,7.0,,Xbox Live Arcade,,,,1.0,1.0
16,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,Rockstar,,,,97.0,50.0,8.3,5037.0,97.0,8.3,17.0,18.0,2489.0,17.3,18.0,,PlayStation Store Blu-Ray,anglais,français,,,2.0
17,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,Rockstar,,,,95.0,80.0,9.1,3387.0,95.0,9.1,18.0,14.0,50.0,9.8,,,,,,,,
18,Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,,,,,92.0,28.0,9.0,236.0,,,,18.0,285.0,18.8,3.0,,Cartouche,,,,,2.0
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,,,,,77.0,58.0,7.5,63.0,,,,,,,,,,,,,,
20,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,,,,,85.0,42.0,8.2,607.0,,,,,,,,,,,,,,
21,Super Mario Land,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,Nintendo,,Nintendo R&D1,,,,,,,,,15.0,165.0,16.3,,,Cartouche,,,,1.0,1.0
22,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,,,Nintendo R&D4,3.0,94.0,25.0,8.9,276.0,,,,19.0,2.0,20.0,3.0,,Cartouche eShop Console Virtuelle,anglais,anglais,,2.0,
23,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,Rockstar,,,,97.0,58.0,8.3,4143.0,97.0,8.3,24.0,18.0,1309.0,17.5,18.0,,DVD Blu-Ray Contenu Xbox Live Online PlayStation Store,français,français,,,2.0
24,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,,,,,95.0,62.0,8.8,1449.0,95.0,8.8,25.0,14.0,50.0,9.8,,,,,,,,
25,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,,,,,82.0,30.0,8.5,367.0,,,,,,,,,,,,,,
26,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,Game,,,,87.0,63.0,7.9,830.0,,,,,,,,,,,,,,
27,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,,,,,77.0,37.0,7.1,27.0,,,,,,,,,,,,,,
28,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,,,Polyphony Digital,3.0,95.0,54.0,8.4,455.0,95.0,8.4,29.0,18.0,490.0,17.4,3.0,2.0,DVD,,,2.0,2.0,
29,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,Infinity,,,,88.0,81.0,3.5,8680.0,88.0,3.5,30.0,12.0,18.0,10.1,18.0,,,,,,,
30,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,,,,,79.0,84.0,6.3,1762.0,,,,16.0,686.0,17.6,3.0,,Cartouche,français,français,,,
