Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,description_wiki
1,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,"Wii Sports
Logo officiel de Wii Sports.
Développeur
Nintendo EAD
Éditeur
Nintendo
Réalisateur
Katsuya Eguchi (producteur)
Kiyoshi Mizuki (producteur)
Shigeru Miyamoto (producteur)
Keizo Ohta (réalisateur)
Takayuki Shimamura (réalisateur)
Yoshikazu Yamashita (réalisateur)
Compositeur
Kazumi Totaka
Producteur
Shigeru Miyamoto, Katsuya Eguchi
Date de sortie
AN 19 novembre 2006
JPN 2 décembre 2006
AUS 7 décembre 2006
EUR 8 décembre 2006
KOR 26 avril 2008
CHN 12 juillet 2008
Genre
Sport
Mode de jeu
Un joueur
Multijoueur (de 2 à 4)
Plateforme
Wii
Langue
Multilingue
Évaluation
CERO : A ?
ESRB : E ?
PEGI : 7+ ?
USK : 0 ?
Site web
wiisports.nintendo.com
Wii (série) et Wii Sports (d)
- Wii Sports Resort
modifier - modifier le code - modifier Wikidata"
2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,Ne doit pas être confondu avec Mario Bros. ou Mario Bros. (Game and Watch).
3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,"Mario Kart Wii
Logo officiel de Mario Kart Wii.
Développeur
Nintendo EAD
Éditeur
Nintendo
Réalisateur
Hideki Konno (producteur)
Yasuyuki Oyagi (réalisateur)
Producteur
Hideki Konno
Date de sortie
JAP : 10 avril 2008
EUR : 11 avril 2008
AUS : 24 avril 2008
AN : 27 avril 2008
KOR : 30 avril 2008
Genre
Course
Combat motorisé
Mode de jeu
Local
1 à 4 joueurs
En ligne (jusqu'au 20 mai 2014)
2 à 12 joueurs
Plateforme
Wii
Langue
Multilingue
Évaluation
CERO : A ?
ESRB : E ?
OFLC (AU) : G ?
PEGI : 3+ ?
Site web
Site officiel
Mario Kart
Mario Kart DS Mario Kart 7
modifier - modifier le code - modifier Wikidata"
4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,"↑ « Game Credits for Wii Sports Resort » [archive], sur MobyGames.
↑ « Iwata demande : Wii Sports Resort » [archive], sur fr.wii.com (consulté le 7 août 2009)
↑ (en) Xavier, « Mario Kart 7 : Deux Coupes et le Mode Battle détaillés » [archive], Puissance-Nintendo, 2011 (consulté le 7 janvier 2012).
↑ « Time Square aux couleurs de Wii Sports Resort » [archive], sur Nintendo-Master, 2009 (consulté le 7 août 2009).
↑ « Wii Sports Resort » [archive], sur GameRankings (consulté le 7 août 2009).
↑ « Wii Sports Resort » [archive], sur Metacritic (consulté le 7 août 2009).
↑ « Test de Wii Sports Resort » [archive], sur Jeuxvideo.com, 2009 (consulté le 7 août 2009).
↑ « Test de Wii Sports Resort » [archive], sur Gamekult, 2009 (consulté le 7 août 2009).
↑
a b et c « Wii Sports Resort » [archive], sur VG Chartz (consulté le 7 août 2009).
↑ « Wii Fit » [archive], sur VG Chartz (consulté le 7 août 2009).
↑ (en) « Top Selling Software Sales Units » [archive], sur nintendo.co.jp (consulté le 5 novembre 2020)."
5,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,no_data
6,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,Vous lisez un « article de qualité » labellisé en 2015.
7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,"Cet article concerne le jeu sur Nintendo DS. Pour le jeu sur Wii, voir New Super Mario Bros. Wii."
8,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,"Wii Play
Développeur
Nintendo EAD
Éditeur
Nintendo
Réalisateur
Motoi Okamoto (directeur),
Katsuya Eguchi (producteur)1
Compositeur
Ryō Nagamatsu (d)
Producteur
Katsuya Eguchi
Date de sortie
2 décembre 2006
8 décembre 2006
12 février 2007
26 avril 2008
12 juillet 2008
Genre
Mini-jeux
Mode de jeu
Un à deux joueurs
Plateforme
Wii
Langue
Version européenne : Anglais, Allemand, Français, Espagnol, Italien
Évaluation
CERO : A ?
ESRB : E ?
OFLC (AU) : G ?
PEGI : 3+ ?
Site web
www.nintendo.com/sites/software_wiiplay.jsp
Wii (série) et Wii Play (d)
- Wii Play: Motion
modifier - modifier le code - modifier Wikidata"
9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,"Cette section est vide, insuffisamment détaillée ou incomplète. Votre aide est la bienvenue ! Comment faire ?"
10,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,Personne jouant à Duck Hunt avec le pistolet optique.
11,Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,Article connexe : Nintendogs + Cats.
12,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,"Mario Kart DS
Logo officiel de Mario Kart DS.
Développeur
Nintendo EAD
Éditeur
Nintendo
Réalisateur
Makoto Wada
Producteur
Hideki Konno
Date de sortie
Nintendo DS
AN : 14 novembre 2005
AUS : 15 novembre 2005
EUR : 25 novembre 2005
JAP : 8 décembre 2005
Console virtuelle (Wii U)
PAL : 1er avril 2015
USA : 23 avril 2015
Genre
Course
Combat motorisé
Mode de jeu
Local
1 à 8 joueurs
En ligne (jusqu'au 20 mai 2014)
2 à 4 joueurs
Plateforme
Nintendo DS, Wii U
Langue
Multilingue
Évaluation
ESRB : E ?
PEGI : 3+ ?
Site web
www.mariokart.com/mkds/launch/index.html
Mario Kart
Mario Kart Double Dash!! Mario Kart Wii
modifier - modifier le code - modifier Wikidata"
13,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,no_data
14,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,"Wii Fit - Leipzig Games Convention, août 2007."
15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,"Cet article ne cite pas suffisamment ses sources (avril 2017).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,"Kinect Adventures
Développeur
Good Science Studio (en)
Éditeur
Microsoft Games Studios
Date de sortie
AN : 4 novembre 2010
EUR : 10 novembre 2010
AUS : 18 novembre 2010
JAP : 20 novembre 2010
Genre
Party game, Sport
Mode de jeu
Un joueur, Multijoueur
Plateforme
Xbox 360
Moteur
Unreal Engine 3 (d)
Évaluation
ACB : PG ?
CERO : A ?
ESRB : E ?
PEGI : 3 ?
modifier - modifier le code - modifier Wikidata"
17,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,"Los Angeles et sa campagne, retranscrites dans le jeu avec Los Santos et Blaine County."
18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,"Articles détaillés : État de San Andreas, Los Santos, San Fierro et Las Venturas."
19,Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,Ne doit pas être confondu avec Super Mario 3D World ou Super Nintendo World.
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,"Cet article sur le jeu vidéo doit être recyclé (juin 2008).
Une réorganisation et une clarification du contenu paraissent nécessaires. Améliorez-le, discutez des points à améliorer ou précisez les sections à recycler en utilisant {{section à recycler}}."
21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,no_data
22,Super Mario Land,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,"Super Mario Land
Logo du jeu.
Développeur
Nintendo R&D1
Éditeur
Nintendo
Réalisateur
Satoru Okada (réalisateur)
Gunpei Yokoi (producteur)
Compositeur
Hirokazu Tanaka
Producteur
Gunpei Yokoi
Date de sortie
JAP : 21 avril 1989
USA : 1er août 1989
EUR : 28 septembre 1990
Genre
Plates-formes
Mode de jeu
Un joueur
Plateforme
Game Boy, 3DS (Console Virtuelle)
Langue
Jeu en anglais, manuel en français
Évaluation
ESRB : KA ?
Site web
www.nintendo.co.jp/n02/dmg/mla/index.html
Super Mario et Super Mario Land (d)
Super Mario Bros. 3 et - Land 2: 6 Golden Coins (1992)
modifier - modifier le code - modifier Wikidata"
23,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,"Super Mario Bros. 3
Logo officiel du jeu.
Développeur
Nintendo R&D4
Éditeur
Nintendo
Réalisateur
Shigeru Miyamoto
Takashi Tezuka
Hiroshi Yamauchi (directeur)
Compositeur
Koji Kondo1
Date de sortie
[afficher]
23 octobre 1988









Genre
Plates-formes
Mode de jeu
1 à 2 joueurs (en alternance)
Plateforme
Arcade :
PlayChoice-10
Console(s) :
NES, Super Nintendo
Console(s) portable(s) :
Game Boy Advance
Langue
Japonais
Évaluation
CERO : A ?
ESRB : E ?
OFLC (AU) : G ?
PEGI : 3+ ?
Super Mario et Mario
Super Mario Bros. 2 Super Mario World
modifier - modifier le code - modifier Wikidata"
24,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,"Los Angeles et sa campagne, retranscrites dans le jeu avec Los Santos et Blaine County."
25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,Article détaillé : Liste des personnages de Grand Theft Auto: Vice City.
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,no_data
27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,no_data
28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,no_data
